x,y,real_dapi,real_foxp3,real_cd19,real_cd68,real_cd4,real_cd3,real_cd8,real_sampleaf,fake_dapi,fake_foxp3,fake_cd19,fake_cd68,fake_cd4,fake_cd3,fake_cd8,fake_sampleaf
71885,15347,21.333,6.684,2.534,10.519,4.642,39.212,15.318,14.264,22.511,5.483,3.402,12.66,12.998,16.216,17.602,11.41
63693,62451,34.182,4.348,4.355,9.719,7.011,5.249,7.984,8.601,27.26,4.835,3.293,15.011,8.782,0.157,11.39,16.251
17613,63475,22.876,6.831,4.927,22.11,12.383,25.932,17.733,14.698,14.888,5.829,2.988,21.479,11.766,10.872,31.694,13.855
62669,17395,33.558,6.47,3.838,11.219,7.014,27.563,16.675,13.533,29.637,5.404,3.539,14.12,10.86,10.893,18.77,11.245
75981,14323,1.953,1.903,1.393,1.985,2.412,3.524,1.559,6.272,8.202,1.463,2.015,1.789,5.52,-1.649,-1.118,9.187
32973,21491,0.434,1.708,1.392,1.018,2.257,2.808,0.522,5.593,11.131,1.982,2.569,4.759,8.961,-0.062,3.685,12.001
68813,11251,24.423,5.933,2.172,9.597,3.985,23.864,13.836,13.238,21.711,4.758,2.755,10.648,8.501,10.638,16.655,10.772
31949,12275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.772,5.09,3.19,10.348,9.503,2.359,15.209,11.336
43213,36851,26.91,9.758,5.185,17.602,13.219,30.858,23.563,18.799,28.555,8.994,3.308,20.814,12.378,17.928,28.525,15.156
12493,54259,21.658,6.003,5.109,18.647,12.634,29.473,13.427,12.797,19.167,7.376,3.072,24.67,13.512,10.427,21.594,22.6
47309,32755,39.471,7.519,5.659,13.701,17.968,28.671,18.17,13.574,34.178,6.4,4.129,13.418,17.299,10.19,21.741,12.002
70861,42995,28.405,7.677,4.423,14.949,10.179,27.966,17.818,14.913,13.189,4.583,2.852,10.571,9.032,18.258,28.975,7.14
24781,6131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.346,4.24,2.917,8.856,8.856,3.234,11.012,9.885
19661,42995,39.467,7.571,5.937,16.107,19.486,33.311,16.217,14.746,38.656,7.417,3.85,21.052,17.645,21.448,22.272,15.6
17613,28659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.105,8.669,2.917,20.207,13.955,9.373,35.86,20.436
9421,42995,0.44,1.368,1.054,0.827,1.832,2.3,0.583,4.703,12.162,2.427,2.812,6.265,8.768,3.301,6.414,14.84
29901,60403,34.064,4.748,4.618,14.658,6.46,5.875,10.298,9.103,27.324,5.216,2.861,16.145,5.375,-0.201,14.412,15.195
31949,60403,36.705,4.849,4.556,14.698,6.13,5.32,10.671,9.433,29.221,7.796,2.722,12.33,7.004,6.2,19.653,23.23
42189,10227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.712,4.787,3.735,12.978,13.389,7.919,19.305,11.767
54477,27635,35.582,7.077,5.439,13.641,12.606,30.775,16.559,13.904,32.417,5.532,4.191,14.309,19.545,10.787,19.494,10.723
33997,61427,35.864,4.887,4.663,11.608,6.879,5.291,10.481,9.331,31.075,4.919,2.929,14.217,8.671,13.009,13.007,13.654
51405,74739,30.931,4.373,2.799,9.492,5.781,4.872,8.687,9.126,30.277,5.952,2.735,14.958,13.404,-0.576,17.859,20.55
61645,13299,18.332,6.392,3.192,10.489,5.523,32.033,15.52,13.7,19.193,5.406,3.199,12.678,10.265,14.009,20.583,12.039
20685,31731,0.074,0.261,0.206,0.154,0.362,0.461,0.103,0.879,11.99,2.846,1.363,7.476,6.555,0.831,14.987,17.883
20685,69619,55.708,8.57,8.411,19.361,26.744,35.965,23.059,14.641,34.316,8.796,4.468,20.555,20.394,13.223,40.979,19.943
59597,73715,40.301,3.939,3.18,9.519,5.021,5.577,8.296,8.681,37.714,6.675,2.621,15.755,6.846,0.629,19.025,22.627
15565,17395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.768,6.961,3.127,17.167,9.929,7.522,27.135,16.073
35021,50163,23.84,6.62,4.71,22.309,11.898,26.154,17.95,12.909,23.879,5.649,3.424,23.957,19.533,17.236,23.15,13.136
27853,67571,52.217,8.801,9.022,19.74,20.712,33.303,27.511,15.345,31.711,7.946,4.613,19.822,15.892,14.155,37.104,18.022
70861,44019,21.318,6.453,4.366,12.25,9.927,26.265,14.486,12.483,15.138,5.738,2.688,10.929,8.147,6.528,14.59,12.36
54477,35827,26.87,7.192,5.06,14.65,13.566,33.444,16.4,13.252,29.133,5.655,4.105,15.508,21.229,14.495,19.813,10.728
75981,27635,23.295,7.335,3.566,12.374,6.824,33.206,17.345,14.81,24.803,6.156,3.35,12.81,12.887,14.778,22.134,12.209
28877,52211,29.742,5.739,3.898,14.178,8.187,11.86,13.764,11.271,29.439,5.99,3.111,19.183,16.08,12.016,23.443,17.738
75981,67571,27.689,7.141,5.031,15.741,8.172,31.324,17.35,14.679,21.001,7.161,3.368,19.967,10.703,9.214,22.723,17.763
