,X,Y
0,54768,112
1,55024,112
2,55280,112
3,57748,128
4,58004,128
5,60052,128
6,60308,128
7,60820,128
8,61076,128
9,61332,128
10,61588,128
11,53488,368
12,53744,368
13,54000,368
14,54256,368
15,54512,368
16,55536,368
17,55792,368
18,57236,384
19,57492,384
20,58260,384
21,60308,384
22,60820,384
23,53232,624
24,54000,624
25,54256,624
26,54512,624
27,54768,624
28,55280,624
29,55536,624
30,55792,624
31,56048,624
32,57748,640
33,58772,640
34,59028,640
35,59540,640
36,59796,640
37,61588,640
38,61844,640
39,62100,640
40,53232,880
41,53744,880
42,54256,880
43,54768,880
44,55024,880
45,55280,880
46,55536,880
47,58004,896
48,58260,896
49,58516,896
50,59028,896
51,59540,896
52,60052,896
53,60308,896
54,61588,896
55,62100,896
56,53488,1136
57,54000,1136
58,54256,1136
59,54512,1136
60,54768,1136
61,55024,1136
62,56560,1136
63,57492,1152
64,58260,1152
65,59028,1152
66,59284,1152
67,59540,1152
68,60052,1152
69,61332,1152
70,61844,1152
71,62100,1152
72,51952,1392
73,52208,1392
74,52976,1392
75,53232,1392
76,54000,1392
77,54512,1392
78,55024,1392
79,55280,1392
80,56048,1392
81,56304,1392
82,57492,1408
83,57748,1408
84,58004,1408
85,58772,1408
86,60308,1408
87,61076,1408
88,61588,1408
89,61844,1408
90,72340,1408
91,51952,1648
92,52464,1648
93,53232,1648
94,53744,1648
95,54512,1648
96,54768,1648
97,55280,1648
98,56304,1648
99,56560,1648
100,58260,1664
101,58516,1664
102,59028,1664
103,59540,1664
104,60564,1664
105,61076,1664
106,72084,1664
107,72596,1664
108,72852,1664
109,51696,1904
110,52208,1904
111,52720,1904
112,53232,1904
113,53488,1904
114,54256,1904
115,54512,1904
116,54768,1904
117,55024,1904
118,55280,1904
119,55536,1904
120,56560,1904
121,58260,1920
122,58516,1920
123,58772,1920
124,60052,1920
125,60564,1920
126,61076,1920
127,61332,1920
128,72852,1920
129,73108,1920
130,73364,1920
131,51440,2160
132,51696,2160
133,51952,2160
134,52208,2160
135,52720,2160
136,52976,2160
137,53488,2160
138,53744,2160
139,55280,2160
140,55536,2160
141,55792,2160
142,56048,2160
143,56560,2160
144,58004,2176
145,58516,2176
146,58772,2176
147,59028,2176
148,59284,2176
149,59540,2176
150,59796,2176
151,60052,2176
152,60308,2176
153,60564,2176
154,71572,2176
155,71828,2176
156,72340,2176
157,72596,2176
158,50672,2416
159,51440,2416
160,51696,2416
161,51952,2416
162,52208,2416
163,55024,2416
164,55536,2416
165,55792,2416
166,56048,2416
167,56304,2416
168,56560,2416
169,58004,2432
170,58260,2432
171,59028,2432
172,60052,2432
173,60564,2432
174,71316,2432
175,72084,2432
176,73108,2432
177,73364,2432
178,73620,2432
179,49648,2672
180,50160,2672
181,51696,2672
182,51952,2672
183,52464,2672
184,52720,2672
185,53488,2672
186,54256,2672
187,54512,2672
188,54768,2672
189,55280,2672
190,56816,2672
191,58004,2688
192,58516,2688
193,59028,2688
194,60052,2688
195,60564,2688
196,70804,2688
197,71316,2688
198,72596,2688
199,73108,2688
200,73364,2688
201,73620,2688
202,49392,2928
203,50672,2928
204,51440,2928
205,51696,2928
206,52464,2928
207,54256,2928
208,55024,2928
209,56304,2928
210,56560,2928
211,57072,2928
212,59028,2944
213,59540,2944
214,60564,2944
215,70804,2944
216,71316,2944
217,72084,2944
218,72852,2944
219,73364,2944
220,74132,2944
221,48368,3184
222,48624,3184
223,48880,3184
224,49136,3184
225,49392,3184
226,49648,3184
227,49904,3184
228,50160,3184
229,50416,3184
230,51696,3184
231,52208,3184
232,53488,3184
233,53744,3184
234,54000,3184
235,55024,3184
236,55280,3184
237,55536,3184
238,56048,3184
239,56304,3184
240,56560,3184
241,56816,3184
242,58516,3200
243,58772,3200
244,59284,3200
245,59540,3200
246,60308,3200
247,60564,3200
248,69780,3200
249,70292,3200
250,71316,3200
251,71572,3200
252,72084,3200
253,72596,3200
254,73108,3200
255,73620,3200
256,74132,3200
257,74388,3200
258,47600,3440
259,47856,3440
260,48624,3440
261,49136,3440
262,49392,3440
263,49648,3440
264,49904,3440
265,50416,3440
266,50928,3440
267,51696,3440
268,51952,3440
269,52208,3440
270,52464,3440
271,52720,3440
272,53232,3440
273,53744,3440
274,54000,3440
275,54512,3440
276,54768,3440
277,55024,3440
278,55792,3440
279,56048,3440
280,56304,3440
281,56560,3440
282,56816,3440
283,57072,3440
284,59540,3456
285,59796,3456
286,60308,3456
287,69012,3456
288,69268,3456
289,69524,3456
290,70036,3456
291,70804,3456
292,71316,3456
293,72852,3456
294,73876,3456
295,74132,3456
296,74388,3456
297,74644,3456
298,47600,3696
299,48112,3696
300,48624,3696
301,48880,3696
302,49392,3696
303,50160,3696
304,52208,3696
305,52464,3696
306,52720,3696
307,53488,3696
308,54000,3696
309,54512,3696
310,54768,3696
311,55280,3696
312,55792,3696
313,56304,3696
314,58260,3712
315,58516,3712
316,58772,3712
317,60052,3712
318,60308,3712
319,69012,3712
320,70036,3712
321,70548,3712
322,70804,3712
323,71316,3712
324,71572,3712
325,72084,3712
326,73364,3712
327,73620,3712
328,46576,3952
329,47344,3952
330,47600,3952
331,47856,3952
332,48112,3952
333,48368,3952
334,49136,3952
335,49392,3952
336,51440,3952
337,52208,3952
338,52464,3952
339,52720,3952
340,52976,3952
341,53232,3952
342,54256,3952
343,54512,3952
344,54768,3952
345,55536,3952
346,56048,3952
347,56304,3952
348,56560,3952
349,57072,3952
350,57328,3952
351,58516,3968
352,58772,3968
353,59284,3968
354,60052,3968
355,60308,3968
356,60564,3968
357,60820,3968
358,61076,3968
359,61332,3968
360,68500,3968
361,68756,3968
362,69012,3968
363,70036,3968
364,70548,3968
365,70804,3968
366,71060,3968
367,71316,3968
368,71828,3968
369,72340,3968
370,73108,3968
371,73620,3968
372,73876,3968
373,46832,4208
374,47344,4208
375,51184,4208
376,51440,4208
377,51696,4208
378,51952,4208
379,52208,4208
380,52720,4208
381,53232,4208
382,53488,4208
383,54000,4208
384,54512,4208
385,54768,4208
386,55536,4208
387,56048,4208
388,56304,4208
389,56560,4208
390,57072,4208
391,58772,4224
392,59284,4224
393,59540,4224
394,59796,4224
395,60052,4224
396,60308,4224
397,62356,4224
398,65684,4224
399,67732,4224
400,67988,4224
401,68244,4224
402,68500,4224
403,70036,4224
404,70548,4224
405,70804,4224
406,71060,4224
407,71316,4224
408,72084,4224
409,72852,4224
410,73108,4224
411,73364,4224
412,46832,4464
413,50416,4464
414,50672,4464
415,51440,4464
416,51696,4464
417,51952,4464
418,52208,4464
419,52464,4464
420,52976,4464
421,53232,4464
422,54256,4464
423,54512,4464
424,55536,4464
425,56304,4464
426,57072,4464
427,57328,4464
428,58772,4480
429,59540,4480
430,60564,4480
431,60820,4480
432,61076,4480
