Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-FV-A495-01,0.009579024,0.017303684,0,0.121881688,0,0.210635374,0,0.034737063,0.104884905,0,0,0.03856379,0.059714097,0.053673664,0.085189155,0.169461024,0.005898142,0,0.08847839,0,0,0,0.39,0.031365239,1.078468542
TCGA-G3-A3CH-11,0.072837709,0,0.011157297,0.216862494,0,0.049797582,0,0.043210395,0.040759658,0.017964621,0.056670962,0,0.003153772,0.004037117,0.09538689,0.362586694,0,0,0.013907692,0,0,0.011667118,0.5,0.017495792,1.095436405
TCGA-CC-A3MB-01,0.099995732,0,0,0.11643331,0,0.137426394,0,0.041694466,0.062788997,0,0.036497822,0.00970994,0.011735185,0.077210076,0.078621047,0.307482271,0,0,0.020404757,0,0,0,0.9,-0.031531951,1.107150468
TCGA-BC-A3KF-01,0.150736316,0,0.034637569,0,0,0.250917334,0,0.044561637,0.054111316,0,0,0.028577019,0,0,0.065447587,0.300578294,0,0,0.062253072,0,0,0.008179856,0.84,-0.022657459,1.091635341
TCGA-DD-A4NV-01,0,0.004888852,0,0,0,0.2855267,0,0.005657395,0.060230074,0,0.088539182,0.01387952,0.098218487,0.105916363,0.040554217,0.10092827,0.001788064,0,0.180177304,0,0,0.013695573,0.54,0.011576721,1.080902196
TCGA-CC-A1HT-01,0.003056834,0,0.007008447,0.03038414,0,0.116045413,0,0.070656015,0.007106093,0,0,0.063756717,0.024886052,0.107868656,0.168863531,0.321608096,0.003609297,0,0.075150708,0,0,0,0.01,0.323076035,0.962225151
TCGA-BD-A3EP-01,0.092190146,0.090875535,0.036983687,0.070722123,0,0.206349226,0,0.072336988,0.061762958,0,0.029185551,0,0.00328012,0.0231953,0.055940933,0.253541862,0.002177976,0,0,0,0,0.001457595,0.21,0.079584737,1.056265028
TCGA-FV-A3R2-11,0.069043798,0,0,0.14314321,0,0.107232347,0,0.046227623,0.002913702,0.025537907,0,0.01192305,0.036056999,0.038968539,0.051079422,0.439292256,0,0,0,0.023465509,0,0.005115639,0.36,0.034829366,1.090028458
TCGA-CC-A3MA-01,0.022736122,0,0,0.04707826,0,0.065832737,0,0.017699236,0.038523795,0,0,0.029571523,0,0.538430939,0.032070518,0.183725008,0,0,0.024331863,0,0,0,0,0.663538258,0.748235643
TCGA-ZP-A9CV-01,0.089254306,0,0,0.102614163,0,0.236358169,0,0,0.055081433,0,0.013876913,0.007117322,0.040043054,0,0.086208711,0.284498071,0,0.040395434,0.033687441,0,0,0.010864982,0.56,0.006360209,1.089479794
TCGA-DD-AACY-01,0.123815295,0,0,0.097645077,0,0.2606347,0,0.050742218,0.029520751,0,0,0.080079306,0.006339195,0.039402548,0.036376533,0.272085494,0,0,0.003358883,0,0,0,0.87,-0.026241174,1.114478995
TCGA-XR-A8TG-01,0.141820332,0,0.051375957,0,0,0.221721404,0,0.0456466,0.060135723,0,0,0.058498795,0.013715541,0.095370889,0.096631076,0.142900921,0,0,0,0.061753586,0,0.010429174,0.55,0.007949193,1.084753611
TCGA-CC-A9FW-01,0.057933433,0,0.021353947,0.12922763,0,0.078390879,0,0.04016304,0.097583043,0,0,0.037199429,0.010810682,0.276910061,0.056069404,0.079943272,0,0,0.114415181,0,0,0,0.46,0.026967819,1.084798012
TCGA-BC-A10Y-01,0.066802041,0,0.007424596,0.08393366,0,0.241844964,0,0.063934572,0.079578183,0,0.001145264,0.039057256,0.043086308,0.018168623,0.128886683,0.193290834,0,0,0.032847017,0,0,0,0.61,0.001955193,1.100361923
TCGA-KR-A7K7-01,0.009402527,0,0.042977809,0.390914538,0,0,0,0.106067021,0.057432072,0,0,0,0.0079584,0.217725215,0.032263388,0.068852201,0,0,0.06640683,0,0,0,0.36,0.034785224,1.09736918
TCGA-ED-A459-01,0.062731754,0,0.124920894,0,0,0.046958689,0,0.058377327,0.019350083,0,0,0.034977843,0,0.146424896,0.024855417,0.47198293,0,0.005302967,0,0,0,0.0041172,0.5,0.019346372,1.10656914
TCGA-PD-A5DF-01,0.026890431,0,5.77E-05,0,0,0.120008711,0.001021189,0.018689982,0.058894828,0.010977245,0.064739333,0,0,0.597681482,0.042526914,0.032793479,0,0,0.025718697,0,0,0,0.03,0.24623361,1.047095079
TCGA-ED-A5KG-01,0.15936065,0.053102311,0,0.136081536,0,0.177610767,0,0.018346666,0.108316289,0,0.068593356,0,0.020466919,0.105577806,0.089607054,0.062936646,0,0,0,0,0,0,0,0.475409213,0.878911868
TCGA-DD-AAVX-01,0.066172238,0,0.028731357,0.01639471,0,0.203933582,0,0.01801364,0.060135063,0.000628465,0,0.05228228,0.050670282,0.027156703,0.131880549,0.270478948,0,0,0.073522184,0,0,0,0.5,0.019373886,1.082810473
TCGA-ED-A7PY-01,0.077260171,0,0,0.163118745,0,0.074194173,0,0.029429581,0.067642659,0,0,0.083683195,0.032690004,0.082577766,0.049054834,0.270918847,0.006033989,0,0.063396035,0,0,0,0.84,-0.022011603,1.101849461
TCGA-RC-A7SF-01,0.051326849,0,0.059411971,0.084439197,0,0,0,0.134968708,0.030238453,0.040007776,0.004174247,0,0,0.340521373,0.135290837,0.019590712,0.003549857,0,0.09648002,0,0,0,0.08,0.143010482,1.047103964
TCGA-DD-AAW0-01,0.009670726,0,0,0.011356641,0,0.147316345,0,0.000534351,0.086854511,0,0.046615719,0,0.050035984,0.40656733,0.074483771,0.113706527,0.00566013,0,0.047197966,0,0,0,0.07,0.184670817,1.04283626
TCGA-ED-A66X-01,0.062156333,0,0.011201243,0.044200413,0,0.110528315,0,0.011333521,0.042919698,0,0.00844197,0.005960861,0.001929353,0.289960924,0.025518768,0.350646016,0,0,0.035202585,0,0,0,0.07,0.171117205,1.048064396
TCGA-DD-AAC8-01,0.01636444,0,0.007349838,0.0009282,0.047016926,0,0.00479839,0.037258836,0.074629672,0,0.102171666,0.025419067,0.090050476,0.140113457,0.009664045,0.430753647,0,0,0,0,0,0.013481343,0.23,0.070671893,1.088979167
TCGA-FV-A3I1-01,0.029719005,0,0.015372638,0.040698116,0,0.153785032,0.001554256,0.065881664,0.096488537,0,0.059406571,0,0.040946309,0.311836369,0.048499746,0.060742469,0.007233348,0,0.067835941,0,0,0,0.08,0.154398398,1.034095873
TCGA-RC-A7S9-01,0.079612183,0,0.05941786,0.081641783,0,0.16158525,0,0.111964784,0.045916468,0,0,0.044497844,0.021379399,0.049280104,0.086040813,0.21272576,0.007061344,0,0.038876408,0,0,0,0.84,-0.022996741,1.091932253
TCGA-ZP-A9D2-01,0.012679191,0.009931745,0.011680397,0.011158305,0,0.141585033,0,0.030230129,0.039888246,0,0,0.066614809,0.015440378,0.15501439,0.081450584,0.28253145,0,0,0.137737238,0,0,0.004058103,0.21,0.082918819,1.061802271
TCGA-G3-A5SL-01,0.009982776,0.001688277,0,0,0,0.21954368,0,0.023480013,0.009300602,0,0.018393222,0.060473312,0.028061512,0.165519902,0.083406559,0.082183169,0.004427712,0,0.282467134,0,0,0.01107213,0.31,0.050843126,1.079454743
TCGA-DD-A3A2-11,0.017354592,0.002606431,0.03623027,0,0,0.260945168,0,0.022876429,0,0,0,0.101670388,0.038123385,0,0.028942589,0.304351496,0.000174731,0,0.186724519,0,0,0,0.75,-0.012285806,1.09286393
TCGA-CC-A3M9-01,0,0.010721644,0.000266972,0.376860607,0,0.041555159,0,0.077278104,0.047006527,0,0,0.003656349,0.025894696,0,0.06407951,0.346758154,0.005922277,0,0,0,0,0,0,0.403648019,0.919238946
TCGA-BC-A216-01,0.077851992,0,0.090681168,0.362429919,0,0.028712515,0.01689665,0.06420204,0.087382798,0,0,0.085958391,0.02823904,0.0217707,0.041372266,0.035963818,0,0,0.058212832,0,0,0.00032587,0.65,-0.001730816,1.121921014
TCGA-ED-A7XP-01,0.092011797,0,0.012526979,0.053255741,0,0.121599451,0,0.008743304,0.079083178,0,0.032158657,0.029087442,0.017780649,0.125501227,0.048959628,0.323126449,0.015558163,0,0.040607335,0,0,0,0.36,0.033388852,1.078865625
TCGA-BC-A10T-11,0.001969126,0,0.036109197,0.027398536,0,0.13069652,0,0.023684155,0.005246412,0.058128644,0,0.066767957,0.110630514,0.077055366,0.040086746,0.20751192,0.001375087,0,0.186479819,0,0,0.026860004,0.48,0.022675947,1.076300305
TCGA-DD-A11A-01,0.122565828,0,0.1127677,0.03028311,0,0,0,0.012156332,0.025344757,0.005200811,0.020286976,0.070771607,0.103902265,0.142183796,0.027790257,0.305704423,0,0,0,0,0,0.021042137,0.36,0.03582626,1.080323229
TCGA-DD-A73B-01,0.041604882,0,0.047167152,0.0635555,0,0.10618636,0,0.047087829,0.011677061,0,0.058782505,0.07226946,0.06077337,0,0.08628604,0.324826037,0,0,0.074037598,0,0,0.005746206,0.99,-0.051951269,1.110200286
TCGA-DD-AACA-02,0.010312532,0.017011451,0.014176993,0,0,0.229260221,0,0.007664831,0.051292049,0,0.068440681,0.058249379,0.067563352,0.257298272,0.013364319,0.046428874,0.013339961,0,0.138797947,0,0,0.006799138,0.23,0.072165926,1.065672899
TCGA-DD-AACA-01,0,0.008431053,0.074369079,0,0,0.207268048,0,0.073315719,0.010903916,0,0.144691267,0,0.048795628,0.141954412,0.014223024,0.035941533,0,0,0.228440971,0,0,0.011665349,0.49,0.02068516,1.077989019
TCGA-DD-A1EH-01,0.078569931,0,0,0.053125506,0,0.251212516,0,0.006636036,0.023254758,0,0,0.057534202,0.003381167,0.128071345,0.117631783,0.225063232,0,0,0.054627906,0,0,0.000891618,0.37,0.032119185,1.086275499
TCGA-DD-AA3A-01,0,0.032558626,0,0,0,0.22990322,0,0.012749418,0.072722151,0,0,0.184595118,0.041291438,0.276521543,0.047819333,0.006114893,0.032583004,0,0.062789732,0,0,0.000351525,0.07,0.175116753,1.039166044
TCGA-DD-A3A6-11,0.10959561,0,0,0.221985063,0,0.041390593,0,0.113669766,0,0,0,0.082933497,0.037716887,0,0.159508019,0.163314243,0.006607902,0,0.063278418,0,0,0,0.96,-0.041909275,1.132878465
TCGA-RG-A7D4-01,0.071062352,0,0.15254913,0.270147387,0,0,0,0.110369593,0.041164531,0,0,0.03045562,0.033669033,0.173931468,0.035580919,0.072538256,0,0,0.008531713,0,0,0,0.07,0.165546014,1.018827255
TCGA-FV-A2QR-11,0.075312508,0,0,0.108821553,0,0.174560056,0,0.03239437,0.010276085,0.006734551,0,0.038057455,0.05235155,0.086950243,0.118749991,0.269413531,0,0,0,0.024923534,0,0.001454571,0.32,0.046395007,1.08195495
TCGA-DD-A73F-01,0.059662434,0,0.004325186,0.257043423,0,0.191821404,0,0.051938487,0.018379909,0,0,0.052729297,0.037446581,0.070930136,0.07025954,0.154341565,0,0,0.031122037,0,0,0,0.14,0.094115607,1.067622641
TCGA-WX-AA46-01,0.003256921,0,0.028559092,0,0,0.482656945,0,0.014589354,0,0,0.058957923,0.103270659,0.094924119,0.02593178,0.003682805,0.095023698,0.001220913,0,0.034265588,0,0,0.053660201,0.84,-0.022876318,1.129701556
TCGA-K7-AAU7-01,0.07402351,0,0,0,0,0.164910593,0,0.045671347,0.068387324,0,0,0.026475818,0,0.228040336,0.060809915,0.256145237,0.013371201,0,0.0048016,0,0,0.057363118,0.3,0.052575574,1.086247959
TCGA-DD-A3A2-01,0.025336945,0,0,0,0.040390269,0.281900533,0,0.116307154,0.000469076,0,0.067579447,0.043521242,0.033735266,0.011445431,0.083982317,0.146187272,0,0,0.146202138,0,0,0.00294291,0.84,-0.022324351,1.104142464
TCGA-EP-A26S-01,0.085046988,0,0.020912816,0.04597889,0,0.112595483,0,0,0,0,0.08357184,0.027842298,0.028921597,0.136364098,0.065397698,0.323175695,0,0,0.070192597,0,0,0,0.5,0.01874847,1.088527539
TCGA-DD-A1EG-11,0.059727173,0,0,0.105026368,0,0.104662584,0,0.03006914,0.0318024,0,0,0.026079649,0.146072315,0.009659178,0.169070346,0.30263591,0,0,0,0.013586971,0,0.001607965,0.35,0.038724771,1.096355004
TCGA-FV-A2QQ-01,0.016758489,0,0,0.153265036,0,0.003268577,0,0.048763521,0.11166835,0,0.011711474,0,0.001001464,0.234499078,0.083289075,0.215579289,0.000589539,0,0.117217702,0,0,0.002388407,0.27,0.056286403,1.078527717
