X,Y
54512,112
59284,128
60308,128
60564,128
54000,368
55536,368
57748,384
59028,384
59284,384
59540,384
60820,384
61588,384
61844,384
62100,384
55280,624
55792,624
57492,640
59284,640
60052,640
60308,640
60564,640
61332,640
52720,880
53488,880
53744,880
54512,880
54768,880
55792,880
57492,896
58260,896
53488,1136
53744,1136
54256,1136
54768,1136
55024,1136
56048,1136
56304,1136
57492,1152
58004,1152
58772,1152
59796,1152
60052,1152
60308,1152
61844,1152
51952,1392
52208,1392
52720,1392
54256,1392
55536,1392
56304,1392
57492,1408
59284,1408
59540,1408
59796,1408
60308,1408
61076,1408
61588,1408
61844,1408
62100,1408
72340,1408
51696,1648
52208,1648
53232,1648
53488,1648
54000,1648
54256,1648
54512,1648
55280,1648
56048,1648
56560,1648
58516,1664
59028,1664
59284,1664
59796,1664
60308,1664
60820,1664
61076,1664
72852,1664
51696,1904
52208,1904
52464,1904
52720,1904
54256,1904
54512,1904
55024,1904
56304,1904
56560,1904
58004,1920
58260,1920
59284,1920
60308,1920
72340,1920
51440,2160
52208,2160
52720,2160
52976,2160
53232,2160
53744,2160
54256,2160
55024,2160
56560,2160
57748,2176
58004,2176
58772,2176
59540,2176
70804,2176
71828,2176
73364,2176
50160,2416
50416,2416
50928,2416
51440,2416
51696,2416
51952,2416
52208,2416
52464,2416
52976,2416
53232,2416
53488,2416
54256,2416
54512,2416
55024,2416
58004,2432
58260,2432
58516,2432
60308,2432
70804,2432
72852,2432
50672,2672
50928,2672
51696,2672
52464,2672
52976,2672
53232,2672
54256,2672
54768,2672
55024,2672
55536,2672
56048,2672
56560,2672
56816,2672
58260,2688
72084,2688
73620,2688
49136,2928
49648,2928
50416,2928
50672,2928
50928,2928
52208,2928
54512,2928
55280,2928
55792,2928
56048,2928
58260,2944
58516,2944
59028,2944
59284,2944
59540,2944
60052,2944
60564,2944
70292,2944
71572,2944
72852,2944
73620,2944
74132,2944
48368,3184
48624,3184
49392,3184
49648,3184
49904,3184
50416,3184
50672,3184
51184,3184
51440,3184
52464,3184
52720,3184
52976,3184
53232,3184
54000,3184
54256,3184
55792,3184
56048,3184
56304,3184
58772,3200
60052,3200
69524,3200
69780,3200
70036,3200
70804,3200
72340,3200
47600,3440
48112,3440
48368,3440
48624,3440
48880,3440
49392,3440
49904,3440
50672,3440
50928,3440
53744,3440
54512,3440
54768,3440
55024,3440
55280,3440
55536,3440
55792,3440
56048,3440
56560,3440
58260,3456
59540,3456
59796,3456
69012,3456
70036,3456
73876,3456
74644,3456
47088,3696
47344,3696
48624,3696
49392,3696
49648,3696
49904,3696
50672,3696
52208,3696
52464,3696
53232,3696
53488,3696
54000,3696
55536,3696
56816,3696
59284,3712
59540,3712
60564,3712
69012,3712
70804,3712
73108,3712
73620,3712
73876,3712
74644,3712
47856,3952
49392,3952
52720,3952
52976,3952
53744,3952
55024,3952
55280,3952
55536,3952
55792,3952
56304,3952
59028,3968
60308,3968
61332,3968
69524,3968
71828,3968
73108,3968
73364,3968
74388,3968
46320,4208
46576,4208
46832,4208
47344,4208
51952,4208
52208,4208
52720,4208
53232,4208
55024,4208
55280,4208
56048,4208
56816,4208
57328,4208
59028,4224
60052,4224
61332,4224
61588,4224
62356,4224
62612,4224
64660,4224
65428,4224
66196,4224
67988,4224
68756,4224
71060,4224
71316,4224
72084,4224
72340,4224
72852,4224
50416,4464
50672,4464
51440,4464
51952,4464
53232,4464
54256,4464
54512,4464
54768,4464
56048,4464
56560,4464
57328,4464
58772,4480
59796,4480
60052,4480
60564,4480
62356,4480
63380,4480
64660,4480
65428,4480
66196,4480
67220,4480
67988,4480
68500,4480
69268,4480
70548,4480
71316,4480
72084,4480
73108,4480
73364,4480
74900,4480
46576,4720
49904,4720
50160,4720
50416,4720
52208,4720
52720,4720
54256,4720
55024,4720
56816,4720
59284,4736
59540,4736
60052,4736
60564,4736
60820,4736
61076,4736
61844,4736
62612,4736
63636,4736
63892,4736
64660,4736
65428,4736
66964,4736
67732,4736
68500,4736
71316,4736
72596,4736
73108,4736
46832,4976
50160,4976
50672,4976
51184,4976
51440,4976
51696,4976
51952,4976
52208,4976
52464,4976
52976,4976
54256,4976
54768,4976
55024,4976
55280,4976
56048,4976
56304,4976
56816,4976
58096,4976
60564,4992
61076,4992
61588,4992
61844,4992
63380,4992
63892,4992
67476,4992
67732,4992
68244,4992
69268,4992
70036,4992
70548,4992
71828,4992
72340,4992
73876,4992
75412,4992
75668,4992
49648,5232
50672,5232
50928,5232
53232,5232
53488,5232
54512,5232
55024,5232
55536,5232
58096,5232
59796,5248
60308,5248
60820,5248
61076,5248
61844,5248
62100,5248
62356,5248
62612,5248
63380,5248
64660,5248
66452,5248
67220,5248
67988,5248
68244,5248
68756,5248
74644,5248
48624,5488
49136,5488
49392,5488
49904,5488
50160,5488
50672,5488
52720,5488
52976,5488
54000,5488
54256,5488
54512,5488
54768,5488
55792,5488
56304,5488
56560,5488
57328,5488
57840,5488
58096,5488
58864,5488
61076,5504
61588,5504
62868,5504
63636,5504
65428,5504
66196,5504
66452,5504
66964,5504
67220,5504
67732,5504
68244,5504
68500,5504
69268,5504
72852,5504
75924,5504
47600,5744
48880,5744
49648,5744
50672,5744
50928,5744
51440,5744
51696,5744
51952,5744
52208,5744
52976,5744
53488,5744
55024,5744
55536,5744
55792,5744
57328,5744
57840,5744
58864,5744
62612,5760
63380,5760
63892,5760
64148,5760
66196,5760
67220,5760
67988,5760
68244,5760
69012,5760
69524,5760
71828,5760
73876,5760
75412,5760
48880,6000
49648,6000
52464,6000
52976,6000
53488,6000
54000,6000
55280,6000
55792,6000
56048,6000
58608,6000
58864,6000
62868,6016
63892,6016
64916,6016
65172,6016
65940,6016
66452,6016
67988,6016
68756,6016
69524,6016
70292,6016
46832,6256
47088,6256
47344,6256
47856,6256
49904,6256
50160,6256
51440,6256
52720,6256
54000,6256
54768,6256
55536,6256
56048,6256
57072,6256
58352,6256
58608,6256
58864,6256
59888,6256
62100,6272
63892,6272
64404,6272
64916,6272
66708,6272
67476,6272
69268,6272
72340,6272
72852,6272
76180,6272
46576,6512
47856,6512
49136,6512
50160,6512
50672,6512
50928,6512
51696,6512
52464,6512
52720,6512
52976,6512
53232,6512
53744,6512
54000,6512
54512,6512
55024,6512
55792,6512
56304,6512
57072,6512
57584,6512
59632,6512
63380,6528
64148,6528
64916,6528
65428,6528
65684,6528
65940,6528
66708,6528
69012,6528
69268,6528
69524,6528
69780,6528
71060,6528
73876,6528
74644,6528
46320,6768
48368,6768
48880,6768
50416,6768
52464,6768
53488,6768
53744,6768
54256,6768
54512,6768
54768,6768
55024,6768
55280,6768
55536,6768
56048,6768
57328,6768
58096,6768
58608,6768
69268,6784
70036,6784
70292,6784
75156,6784
46832,7024
47600,7024
49392,7024
50160,7024
51440,7024
54000,7024
54768,7024
55024,7024
56048,7024
56304,7024
57072,7024
58352,7024
58608,7024
62868,7040
63380,7040
64404,7040
65428,7040
65940,7040
67476,7040
68756,7040
71828,7040
72084,7040
72852,7040
76180,7040
76948,7040
46320,7280
46576,7280
46832,7280
49648,7280
49904,7280
50672,7280
52208,7280
55024,7280
55280,7280
56048,7280
56816,7280
59120,7280
59376,7280
59632,7280
60656,7280
61168,7280
65428,7296
65940,7296
66708,7296
67476,7296
73620,7296
73876,7296
44784,7536
45552,7536
45808,7536
49136,7536
49392,7536
49904,7536
50416,7536
51696,7536
52720,7536
52976,7536
53488,7536
53744,7536
54000,7536
55024,7536
55280,7536
55536,7536
55792,7536
56304,7536
56560,7536
57584,7536
58352,7536
59120,7536
59376,7536
59632,7536
60144,7536
60400,7536
61168,7536
64148,7552
64660,7552
65940,7552
66964,7552
67732,7552
67988,7552
68244,7552
71060,7552
71572,7552
74644,7552
76180,7552
77716,7552
44784,7792
47088,7792
49904,7792
50416,7792
52208,7792
54000,7792
54512,7792
56048,7792
57584,7792
58352,7792
59120,7792
59632,7792
60400,7792
65172,7808
68244,7808
68500,7808
69780,7808
76948,7808
45808,8048
46576,8048
51184,8048
52208,8048
52464,8048
53232,8048
55024,8048
56304,8048
57072,8048
57584,8048
58096,8048
58608,8048
59376,8048
60912,8048
68500,8064
69268,8064
72340,8064
73108,8064
75412,8064
43760,8304
48112,8304
49136,8304
50160,8304
51952,8304
53232,8304
53744,8304
54256,8304
54512,8304
55024,8304
56560,8304
56816,8304
57328,8304
57840,8304
58096,8304
58608,8304
60144,8304
60912,8304
61424,8304
68500,8320
69012,8320
71572,8320
73876,8320
74644,8320
75156,8320
77204,8320
44016,8560
45040,8560
46576,8560
47344,8560
49136,8560
51440,8560
51952,8560
53488,8560
54768,8560
55280,8560
55792,8560
56048,8560
56304,8560
56816,8560
57072,8560
57840,8560
58864,8560
59632,8560
59888,8560
60400,8560
60656,8560
61168,8560
62192,8560
69012,8576
69524,8576
70292,8576
71316,8576
74900,8576
75924,8576
42736,8816
42992,8816
45808,8816
46320,8816
47856,8816
48368,8816
52208,8816
52464,8816
53232,8816
56816,8816
58352,8816
59120,8816
60656,8816
60912,8816
61424,8816
61680,8816
62704,8816
62960,8816
71828,8832
42480,9072
43760,9072
51696,9072
54768,9072
55024,9072
55536,9072
56048,9072
57072,9072
58096,9072
58864,9072
59632,9072
60400,9072
61424,9072
69524,9088
70036,9088
71060,9088
73364,9088
44272,9328
46576,9328
46832,9328
50928,9328
52464,9328
53744,9328
55536,9328
